,level_0,index,name,id,mean_shear,time_before_tcg,mean_shear_hu,time_before_hu,lat
14,14,13,2000_SHANSHAN,"['wp262000', 'WP_26']",6.2417974,60,3.0945750000000003,36,15.15
20,20,19,2000_SAOMAI,"['wp222000', 'WP_22']",3.0964825000000005,24,4.882538333333333,36,15.99
25,25,24,2000_BILIS,"['wp182000', 'WP_18']",2.9844486666666667,36,3.1769789999999993,24,12.5308
28,28,2,2001_KROSA,"['wp242001', 'WP_24']",3.9479904999999977,24,5.985581999999999,24,15.1077
29,29,3,2001_LINGLING,"['wp272001', 'WP_27']",6.502896,48,8.4916555,48,10.7
30,30,4,2001_TORAJI,"['wp112001', 'WP_11']",10.740343666666666,36,9.0730615,24,16.8867
31,31,5,2001_DANAS,"['wp192001', 'WP_19']",5.149715499999999,24,6.204181499999999,24,18.64
34,34,8,2001_FAXAI,"['wp332001', 'WP_33']",6.232984749999998,48,3.7038305,144,4.93333
37,37,11,2001_CHEBI,"['wp042001', 'WP_04']",7.030510499999998,24,13.644576,48,13.0067
47,47,21,2001_FRANCISCO,"['wp222001', 'WP_22']",7.464733799999999,60,9.272585999999999,48,14.7769
50,50,24,2001_MAN-YI,"['wp122001', 'WP_12']",5.12434575,48,7.308115333333333,36,11.2091
55,55,2,2002_CHATAAN,"['wp082002', 'WP_08']",4.36477925,48,8.9778391,120,5.15
56,56,3,2002_RUSA,"['wp212002', 'WP_21']",5.065403999999997,24,6.4792429999999985,24,16.3067
63,63,10,2002_RAMMASUN,"['wp092002', 'WP_09']",7.937590333333335,72,7.2440742,60,11.3333
70,70,17,2002_SINLAKU,"['wp222002', 'WP_22']",7.189596,24,7.506495333333333,36,18.28
71,71,18,2002_HIGOS,"['wp252002', 'WP_25']",4.229537499999999,48,5.993593499999999,24,15.7
75,75,0,2003_KUJIRA,"['wp022003', 'WP_02']",8.9044385,24,10.380025999999999,84,4.18571
81,81,6,2003_ETAU,"['wp112003', 'WP_11']",8.449054666666667,72,3.832141666666665,36,13.3462
82,82,7,2003_DUJUAN,"['wp142003', 'WP_14']",4.415328000000001,24,2.082328333333333,36,16.3667
87,87,12,2003_LUPIT,"['wp262003', 'WP_26']",6.323062769230769,156,5.610440333333333,36,8.775
106,106,10,2004_NIDA,"['wp042004', 'WP_04']",6.253395000000001,24,2.220939999999999,12,8.28
109,109,13,2004_MA-ON,"['wp262004', 'WP_26']",2.0553690000000002,72,2.9644835,48,16.7154
115,115,19,2004_SUDAL,"['wp032004', 'WP_03']",7.602378999999999,60,7.771001999999999,36,7.02308
117,117,21,2004_SONGDA,"['wp222004', 'WP_22']",3.9605799999999984,48,3.839517333333332,36,11.1
118,118,22,2004_MEARI,"['wp252004', 'WP_25']",2.02198775,48,3.5662997500000007,48,12.725
