,index,name,id,mean_shear,time_before_tcg,mean_shear_hu,time_before_hu,lat,final_inten,mean_shear_max,time_ts_max,mean_shear_cat1,time_ts_cat1,E_MPI,distance
0,13,2000_SHANSHAN,"['wp262000', 'WP_26']",8.245588000000001,60,6.103083999999999,36,15.2,135.0,11.442621583333333,144,8.291113666666666,36,63.411490138843206,2970.3822689687213
1,19,2000_SAOMAI,"['wp222000', 'WP_22']",5.966125499999999,24,7.232832666666667,36,16.0,140.0,11.442049333333337,216,6.516884333333333,36,70.23400958743899,2224.307203451687
2,24,2000_BILIS,"['wp182000', 'WP_18']",10.794516666666668,36,7.296415999999999,24,12.5,140.0,8.91736711111111,108,11.750047,24,77.14620256623041,1236.9257453889363
3,2,2001_KROSA,"['wp242001', 'WP_24']",4.479038499999998,24,5.216859499999998,24,15.1,105.0,9.3049372,60,4.479038499999998,24,,1881.1740243109884
4,3,2001_LINGLING,"['wp272001', 'WP_27']",7.3372365,48,11.8091795,48,10.7,115.0,14.245611909090911,132,7.3372365,48,,27.310874222997576
5,5,2001_DANAS,"['wp192001', 'WP_19']",9.731149,24,10.072209999999998,24,18.6,105.0,11.664760555555556,108,9.731149,24,,2219.319332116878
6,11,2001_CHEBI,"['wp042001', 'WP_04']",9.844072999999998,24,15.7485485,48,13.0,100.0,13.759884375,96,11.5161875,48,,848.6077543872786
7,14,2001_PODUL,"['wp262001', 'WP_26']",8.75202925,48,6.739934666666668,36,5.7,140.0,12.1842485,168,8.798,36,,1106.4688994624983
8,21,2001_FRANCISCO,"['wp222001', 'WP_22']",10.0000302,60,11.366257999999998,48,14.8,100.0,14.730233439999996,150,10.143359749999998,48,,2246.464690634789
9,24,2001_MAN-YI,"['wp122001', 'WP_12']",7.417733,48,7.616113000000001,36,11.2,120.0,7.735988777777777,108,7.551512333333334,36,,1599.454873178623
10,2,2002_CHATAAN,"['wp082002', 'WP_08']",7.895943249999998,48,13.896518600000002,120,5.2,130.0,14.240442666666668,252,13.023265099999998,120,71.74072703296838,1021.988313213651
11,3,2002_RUSA,"['wp212002', 'WP_21']",5.050525499999999,24,8.392084,24,16.3,115.0,7.973875222222223,108,5.050525499999999,24,65.36670155179911,2394.8617898508187
12,6,2002_PHANFONE,"['wp192002', 'WP_19']",9.070645333333331,36,11.647550666666666,36,10.3,135.0,11.164063,132,9.070645333333331,36,71.77222571414298,1652.9734362342574
13,18,2002_HIGOS,"['wp252002', 'WP_25']",5.731693749999999,48,5.774612499999998,24,15.7,135.0,9.961405444444445,108,6.047003499999999,24,68.65968180669267,2117.3294282205
14,20,2002_FENGSHEN,"['wp122002', 'WP_12']",5.985200500000001,24,8.452361,12,12.5,145.0,7.935555666666667,180,4.600737000000002,12,70.50685524187702,2574.4629726471157
15,21,2002_HALONG,"['wp102002', 'WP_10']",7.9605312,60,13.792597999999998,48,9.2,135.0,19.47179775,192,8.1307565,48,70.52833003009528,1444.5413140737191
16,7,2003_DUJUAN,"['wp142003', 'WP_14']",9.5346765,24,7.778377666666668,36,16.4,125.0,12.6697672,120,8.754000333333334,36,67.2141244059255,1301.5020988055996
17,10,2003_IMBUDO,"['wp092003', 'WP_09']",8.6750044,60,10.885822333333332,36,8.8,130.0,14.714926272727274,132,8.427182,36,79.2480428117171,1171.2495351564658
18,11,2003_CHAN-HOM,"['wp042003', 'WP_04']",10.186405666666667,36,12.952535,72,6.9,115.0,12.647589333333334,144,11.793410833333333,72,72.71467466162406,1073.485457517189
19,13,2003_LUPIT,"['wp262003', 'WP_26']",10.979710461538462,156,9.268771,36,8.8,145.0,16.723148304347827,276,12.163847333333337,36,69.78334968264166,1587.0256070892256
20,3,2004_TOKAGE,"['wp272004', 'WP_27']",10.7450234,60,11.329634,24,14.1,125.0,14.4842575,168,11.577609,24,74.57419516803188,1784.4448609317828
21,5,2004_CHABA,"['wp192004', 'WP_19']",9.932581,60,17.642441666666667,36,12.8,155.0,16.576022,144,9.205442,36,73.354027791665,2048.2702533914517
22,9,2004_DIANMU,"['wp092004', 'WP_09']",4.82067175,48,7.3700455,24,9.2,155.0,11.646957222222222,108,4.838792999999999,24,78.34973635335552,1090.0269642328117
23,10,2004_NIDA,"['wp042004', 'WP_04']",7.6790605,24,6.859217000000001,12,8.3,140.0,8.621092999999998,84,7.653500000000001,12,68.2619876899792,584.2425492982461
24,13,2004_MA-ON,"['wp262004', 'WP_26']",6.928395666666667,72,6.1881585,48,16.7,140.0,13.806663739130432,138,7.1022325,48,69.41297321734767,1103.6236851155234
25,19,2004_SUDAL,"['wp032004', 'WP_03']",10.5680074,60,12.22412433333333,36,7.0,130.0,11.608605875,192,11.358373666666663,36,73.61957687662358,1046.2520402735172
26,21,2004_SONGDA,"['wp222004', 'WP_22']",10.115701,48,8.584105666666668,36,11.1,125.0,12.425440727272727,132,10.229642333333333,36,74.15658589600415,2160.4791777796117
27,22,2004_MEARI,"['wp252004', 'WP_25']",5.345806499999999,48,6.740761249999999,48,12.7,125.0,8.331298333333333,144,5.345806499999999,48,73.06057880101069,1678.9066302676788
28,24,2004_NOCK-TEN,"['wp282004', 'WP_28']",9.971341399999996,60,13.696714333333333,36,11.2,110.0,15.987949789473682,228,9.888072666666666,36,74.26613151836928,1687.425234925371
29,11,2005_NESAT,"['wp042005', 'WP_04']",7.904962999999999,84,8.939155,36,9.6,125.0,13.833596533333331,180,6.463220000000001,36,74.3134613466008,1311.2253300154632
30,0,2006_CHANCHU,"['wp022006', 'WP_02']",6.571820333333334,36,12.03559975,48,8.2,125.0,11.410715466666666,180,7.888504,48,69.30743153858464,693.4357650919015
31,2,2006_SAOMAI,"['wp082006', 'WP_08']",9.816350666666663,36,7.797198333333334,36,11.1,140.0,9.53311581818182,132,9.816350666666663,36,74.22954084562014,1556.9740162786823
32,4,2006_DURIAN,"['wp242006', 'WP_24']",8.6648565,48,8.035,60,10.0,135.0,9.5107183,120,8.561622600000002,60,76.60681624780548,1375.033390349767
33,7,2006_SHANSHAN,"['wp142006', 'WP_14']",9.000957999999999,36,10.175215,24,16.9,120.0,13.223106538461536,156,9.0104955,24,70.07628292235991,1137.153874891331
34,10,2006_EWINIAR,"['wp042006', 'WP_04']",10.900828,36,10.109597,60,7.5,130.0,13.070522545454542,132,11.562349,60,77.76260506143076,950.6915321582304
35,12,2006_CHEBI,"['wp232006', 'WP_23']",9.4268646,60,6.310619999999997,12,15.9,125.0,9.291988,84,11.169404,12,78.6445310478685,507.73537047139627
36,16,2006_CIMARON,"['wp222006', 'WP_22']",5.950483999999999,48,5.894530666666667,36,12.6,140.0,6.311722111111111,108,6.055523666666666,36,73.71083758892651,735.5586116522594
37,17,2006_UTOR,"['wp252006', 'WP_25']",10.02356875,48,8.521030999999999,36,10.1,100.0,10.289665,96,10.295260333333331,36,77.01719706217186,625.3662156932329
38,20,2006_XANGSANE,"['wp182006', 'WP_18']",8.057889999999999,24,9.625473499999998,24,11.8,125.0,11.151549800000002,60,8.057889999999999,24,81.70718629056145,217.72932052503685
39,0,2007_YUTU,"['wp022007', 'WP_02']",8.0641466,60,8.009312333333336,36,9.2,130.0,15.264563727272728,132,7.707673,36,71.53063877801362,1199.8947709175093
