,index,name,id,mean_shear,time_before_tcg,mean_shear_hu,time_before_hu,lat,final_inten,E_MPI,distance
0,2,2000_KIROGI,"['wp052000', 'WP_05']",4.234878500000001,24,4.734643500000001,24,14.5333,115.0,70.01473650660674,789.8207753925078
1,13,2000_SHANSHAN,"['wp262000', 'WP_26']",6.2417974,60,3.0945750000000003,36,15.15,135.0,63.411490138843206,2970.3822689687213
2,19,2000_SAOMAI,"['wp222000', 'WP_22']",3.0964825000000005,24,4.882538333333333,36,15.99,140.0,70.23400958743899,2224.307203451687
3,24,2000_BILIS,"['wp182000', 'WP_18']",2.9844486666666667,36,3.176979,24,12.5308,140.0,77.14620256623041,1236.9257453889363
4,2,2001_KROSA,"['wp242001', 'WP_24']",3.9479904999999977,24,5.985581999999999,24,15.1077,105.0,,1881.1740243109884
5,3,2001_LINGLING,"['wp272001', 'WP_27']",6.502896,48,8.4916555,48,10.7,115.0,,27.310874222997576
6,4,2001_TORAJI,"['wp112001', 'WP_11']",10.740343666666666,36,9.0730615,24,16.8867,100.0,,564.4418740044428
7,5,2001_DANAS,"['wp192001', 'WP_19']",5.149715499999999,24,6.204181499999999,24,18.64,105.0,,2219.319332116878
8,8,2001_FAXAI,"['wp332001', 'WP_33']",6.232984749999998,48,3.7038305,144,4.93333,155.0,,1441.1154499898153
9,11,2001_CHEBI,"['wp042001', 'WP_04']",7.030510499999998,24,13.644576,48,13.0067,100.0,,848.6077543872786
10,14,2001_PODUL,"['wp262001', 'WP_26']",6.588542749999999,48,3.846638666666667,36,5.7,140.0,,1106.4688994624983
11,16,2001_WUTIP,"['wp162001', 'WP_16']",2.6581390000000003,24,2.1686745,24,16.6857,130.0,,1699.0441958138326
12,21,2001_FRANCISCO,"['wp222001', 'WP_22']",7.464733799999999,60,9.272586,48,14.7769,100.0,,2246.464690634789
13,24,2001_MAN-YI,"['wp122001', 'WP_12']",5.12434575,48,7.308115333333333,36,11.2091,120.0,,1599.454873178623
14,1,2002_HAGIBIS,"['wp052002', 'WP_05']",9.484064166666668,72,8.022791999999999,48,9.85,140.0,72.31020842991497,1494.19339727077
15,2,2002_CHATAAN,"['wp082002', 'WP_08']",4.36477925,48,8.9778391,120,5.15,130.0,71.74072703296838,1021.988313213651
16,3,2002_RUSA,"['wp212002', 'WP_21']",5.065403999999997,24,6.479242999999999,24,16.3067,115.0,65.36670155179911,2394.8617898508187
17,6,2002_PHANFONE,"['wp192002', 'WP_19']",4.388368666666668,36,6.209903999999999,36,10.2933,135.0,71.77222571414298,1652.9734362342574
18,10,2002_RAMMASUN,"['wp092002', 'WP_09']",7.937590333333335,72,7.2440742,60,11.3333,110.0,67.47031806150673,1049.5004738726739
19,17,2002_SINLAKU,"['wp222002', 'WP_22']",7.189596,24,7.506495333333333,36,18.28,110.0,64.85096844541405,2224.9455999713246
20,18,2002_HIGOS,"['wp252002', 'WP_25']",4.229537499999999,48,5.993593499999999,24,15.7,135.0,68.65968180669267,2117.3294282205
21,20,2002_FENGSHEN,"['wp122002', 'WP_12']",5.169172,24,6.391497999999999,12,12.5,145.0,70.50685524187702,2574.4629726471157
22,21,2002_HALONG,"['wp102002', 'WP_10']",2.489973799999999,60,4.962399,48,9.15,135.0,70.52833003009528,1444.5413140737191
23,0,2003_KUJIRA,"['wp022003', 'WP_02']",8.9044385,24,10.380026,84,4.18571,135.0,74.95722550117645,1239.2625719873815
24,6,2003_ETAU,"['wp112003', 'WP_11']",8.449054666666667,72,3.832141666666665,36,13.3462,110.0,77.11603112400921,1520.4623292262922
25,7,2003_DUJUAN,"['wp142003', 'WP_14']",4.415328000000001,24,2.082328333333333,36,16.3667,125.0,67.2141244059255,1301.5020988055996
26,10,2003_CHAN-HOM,"['wp042003', 'WP_04']",5.1498426666666655,36,6.701148833333334,72,6.92727,115.0,72.71467466162406,1073.485457517189
27,12,2003_LUPIT,"['wp262003', 'WP_26']",6.323062769230769,156,5.610440333333333,36,8.775,145.0,69.78334968264166,1587.0256070892256
28,17,2003_KETSANA,"['wp202003', 'WP_20']",5.222581999999999,12,6.60819,36,15.4154,125.0,73.51263786607674,791.5530015394693
29,5,2004_CHABA,"['wp192004', 'WP_19']",9.6080008,60,14.638510666666669,36,12.825,155.0,73.354027791665,2048.2702533914517
30,9,2004_DIANMU,"['wp092004', 'WP_09']",2.9476975000000003,48,6.243476000000001,24,9.2,155.0,78.34973635335552,1090.0269642328117
31,10,2004_NIDA,"['wp042004', 'WP_04']",6.253395000000001,24,2.220939999999999,12,8.28,140.0,68.2619876899792,584.2425492982461
32,11,2004_CONSON,"['wp072004', 'WP_07']",3.9992386666666646,36,2.2342161999999988,60,14.7733,100.0,64.10651912278688,268.5137013734511
33,13,2004_MA-ON,"['wp262004', 'WP_26']",2.055369,72,2.9644835,48,16.7154,140.0,69.41297321734767,1103.6236851155234
34,19,2004_SUDAL,"['wp032004', 'WP_03']",7.602378999999999,60,7.771001999999999,36,7.02308,130.0,73.61957687662358,1046.2520402735172
35,21,2004_SONGDA,"['wp222004', 'WP_22']",3.9605799999999984,48,3.839517333333332,36,11.1,125.0,74.15658589600415,2160.4791777796117
36,22,2004_MEARI,"['wp252004', 'WP_25']",2.02198775,48,3.5662997500000007,48,12.725,125.0,73.06057880101069,1678.9066302676788
37,24,2004_NOCK-TEN,"['wp282004', 'WP_28']",4.5822724,60,6.661599999999999,36,11.2,110.0,74.26613151836928,1687.425234925371
38,7,2005_NABI,"['wp142005', 'WP_14']",4.434784500000001,24,5.404557499999999,24,15.1,140.0,65.34875250080312,1954.1151190576832
39,11,2005_NESAT,"['wp042005', 'WP_04']",7.6996069999999985,84,9.855772333333332,36,9.58462,125.0,74.3134613466008,1311.2253300154632
40,14,2005_TALIM,"['wp132005', 'WP_13']",3.308978,48,2.8412589999999995,36,13.6,130.0,72.40455266081167,1752.152001605001
41,0,2006_CHANCHU,"['wp022006', 'WP_02']",4.91433,36,7.610581250000001,48,8.21538,125.0,69.30743153858464,693.4357650919015
42,2,2006_SAOMAI,"['wp082006', 'WP_08']",4.848711999999999,36,9.824743666666665,36,11.0545,140.0,74.22954084562014,1556.9740162786823
43,4,2006_DURIAN,"['wp242006', 'WP_24']",10.70111275,48,10.1588868,60,9.975,135.0,76.60681624780548,1375.033390349767
44,7,2006_SHANSHAN,"['wp142006', 'WP_14']",3.4867569999999994,36,4.308508,24,16.875,120.0,70.07628292235991,1137.153874891331
45,10,2006_EWINIAR,"['wp042006', 'WP_04']",6.681946666666668,36,3.144322599999999,60,7.525,130.0,77.76260506143076,950.6915321582304
46,12,2006_CHEBI,"['wp232006', 'WP_23']",10.4108294,60,5.791017,12,15.85,125.0,78.6445310478685,507.73537047139627
47,16,2006_CIMARON,"['wp222006', 'WP_22']",5.8989815,48,7.380600333333333,36,12.62,140.0,73.71083758892651,735.5586116522594
48,17,2006_UTOR,"['wp252006', 'WP_25']",8.87372775,48,9.44655,36,10.1,100.0,77.01719706217186,625.3662156932329
49,20,2006_XANGSANE,"['wp182006', 'WP_18']",2.5909949999999995,24,3.3944340000000004,24,11.85,125.0,81.70718629056145,217.72932052503685
50,0,2007_YUTU,"['wp022007', 'WP_02']",4.9092942,60,7.123723666666666,36,9.15,130.0,71.53063877801362,1199.8947709175093
51,1,2007_USAGI,"['wp052007', 'WP_05']",7.0350885,48,7.928943,24,18.175,120.0,63.41077031254884,1988.3015415326645
52,6,2007_KAJIKI,"['wp192007', 'WP_19']",6.814962999999999,24,6.8260264999999976,24,19.075,115.0,73.47093196912141,1230.397979776419
53,7,2007_KROSA,"['wp172007', 'WP_17']",4.172694,12,2.6383009999999985,24,16.98,130.0,72.89478217516321,795.245309937062
54,8,2007_KONG-REY,"['wp012007', 'WP_01']",10.0992965,24,11.623897666666666,36,8.55,100.0,73.73721349592219,1275.1767566327928
55,9,2007_SEPAT,"['wp092007', 'WP_09']",8.497886666666666,36,11.552938666666668,36,17.3364,140.0,66.89023213472106,1223.6149109001283
56,0,2008_NEOGURI,"['wp022008', 'WP_02']",7.526587666666668,36,5.81371625,48,8.96364,100.0,73.77587841549611,78.08925333433773
57,7,2008_JANGMI,"['wp192008', 'WP_19']",4.873890999999997,12,4.064348,36,11.7889,140.0,75.14684290083014,1320.8525587488311
58,10,2008_FENGSHEN,"['wp072008', 'WP_07']",5.453262333333332,36,8.5328575,24,9.58,110.0,75.65381567863373,606.1664545147445
59,13,2008_NURI,"['wp132008', 'WP_13']",9.733183666666664,36,16.4520345,24,15.8545,100.0,74.01411962504524,1283.6843169405768
60,14,2008_RAMMASUN,"['wp032008', 'WP_03']",5.803606499999999,24,5.004364,36,8.2,135.0,73.00305366844691,584.2425492982461
61,15,2008_NAKRI,"['wp062008', 'WP_06']",5.657709999999999,42,2.8012014999999977,24,14.35,125.0,70.56805986023542,1301.5568358838534
62,19,2008_SINLAKU,"['wp152008', 'WP_15']",4.681615000000001,24,3.0949564999999986,24,16.2733,125.0,76.1642033727401,312.8519370446229
63,21,2008_HAGUPIT,"['wp182008', 'WP_18']",10.3243815,48,7.991203799999999,60,14.12,125.0,73.93829452217614,835.8947468017205
64,4,2009_VAMCO,"['wp112009', 'WP_11']",3.78604375,48,5.799664333333332,36,13.975,120.0,67.47929673231701,2107.827846329026
65,5,2009_PARMA,"['wp192009', 'WP_19']",8.410904666666665,36,11.762255,36,9.16667,135.0,72.81753423068648,1283.1316775810883
66,7,2009_KUJIRA,"['wp012009', 'WP_01']",1.208629750000001,48,3.063037666666665,36,13.3692,115.0,70.47269490637478,27.030649323938025
67,12,2009_NIDA,"['wp262009', 'WP_26']",3.0518469999999995,48,2.5372035000000004,24,8.3,155.0,75.78730912153947,1145.1287592844496
68,16,2009_LUPIT,"['wp222009', 'WP_22']",9.820674333333333,36,6.41744,36,11.46,140.0,75.59060415787629,1577.067584060316
69,18,2009_MELOR,"['wp202009', 'WP_20']",7.511327666666666,36,5.338303666666666,36,10.925,150.0,69.87021999565455,1698.7378407635656
70,20,2009_CHOI-WAN,"['wp152009', 'WP_15']",5.992449000000001,36,7.969763499999999,24,15.475,140.0,70.71946832550547,2005.786795031614
71,2,2010_KOMPASU,"['wp082010', 'WP_08']",8.448546,24,6.231776666666666,36,19.4636,105.0,70.13203760796485,1283.7271623344852
72,8,2010_CHABA,"['wp162010', 'WP_16']",6.744512666666666,108,3.77746,24,16.6,115.0,74.48068030337423,784.0997494536839
73,12,2010_MEGI,"['wp152010', 'WP_15']",9.087177,48,8.818092333333334,36,11.8462,160.0,77.05719188788991,1528.5776821676768
74,0,2011_MA-ON,"['wp082011', 'WP_08']",5.327367333333334,36,5.903432333333332,36,18.95,115.0,70.31146823570816,2316.8214457893996
75,5,2011_NANMADOL,"['wp142011', 'WP_14']",7.284589499999999,24,8.455667333333333,36,15.725,140.0,73.32482536752609,333.16700089878384
76,7,2011_SONGDA,"['wp042011', 'WP_04']",5.365771666666666,36,6.128415599999999,60,9.15,140.0,75.02084959217065,973.2444450643343
77,12,2011_NALGAE,"['wp222011', 'WP_22']",5.018352333333333,36,2.9290040000000004,36,19.02,130.0,71.38997306529471,909.4871123477122
78,13,2011_NESAT,"['wp202011', 'WP_20']",3.896488,24,5.466996333333333,36,13.7333,115.0,75.8826290546364,1190.5292915162463
79,1,2012_GUCHOL,"['wp052012', 'WP_05']",9.044449,48,9.8546024,60,9.6,130.0,,1010.2470252878462
80,4,2012_SON-TINH,"['wp242012', 'WP_24']",3.979400666666667,36,6.277938166666666,72,9.725,105.0,76.12786779586945,61.184965155729685
81,9,2012_SANBA,"['wp172012', 'WP_17']",4.477131,24,4.788434999999999,36,10.825,155.0,80.05370249108559,884.3466123938109
82,11,2012_MAWAR,"['wp042012', 'WP_04']",5.710393333333335,36,3.251498666666668,36,14.9,105.0,60.947257597671125,185.2655896145071
83,14,2012_BOPHA,"['wp262012', 'WP_26']",0.714777999999999,12,3.2156739999999995,84,4.25,150.0,,948.647188464644
84,16,2012_BOLAVEN,"['wp162012', 'WP_16']",2.2358185,48,4.123353333333333,36,17.5067,125.0,72.39334372263949,1654.0916308666606
85,19,2012_PRAPIROON,"['wp222012', 'WP_22']",6.105881666666666,36,3.965921,36,17.875,105.0,76.6700946102422,1589.3926702019276
86,22,2012_TEMBIN,"['wp152012', 'WP_15']",3.907933,12,1.589176,24,17.7,120.0,71.65829499420252,452.3920494941123
87,24,2012_JELAWAT,"['wp182012', 'WP_18']",5.890588500000001,48,7.035660750000001,48,13.3769,140.0,78.78052040874604,580.6640918233913
88,3,2013_NARI,"['wp242013', 'WP_24']",9.1020555,24,10.591813,24,14.475,100.0,82.83666424772123,462.41981003098783
89,4,2013_UTOR,"['wp112013', 'WP_11']",5.129750333333333,36,6.410954499999999,24,13.62,130.0,72.88587331076842,698.0139012869431
90,7,2013_USAGI,"['wp172013', 'WP_17']",2.020016666666665,36,2.2026280000000007,24,17.35,135.0,70.6402320331373,812.7353573391298
91,8,2013_HAIYAN,"['wp312013', 'WP_31']",5.840039749999999,48,12.035409,24,6.125,170.0,76.2299095670842,958.3426077586477
92,12,2013_SOULIK,"['wp072013', 'WP_07']",5.809328999999998,48,6.016864999999999,24,19.075,125.0,64.78224169602137,1872.6521039421646
93,13,2013_DANAS,"['wp232013', 'WP_23']",5.147299333333333,36,6.307568,36,16.78,120.0,72.26882270090692,2029.3074112631973
94,14,2013_FRANCISCO,"['wp262013', 'WP_26']",9.075732,24,0.8780600000000014,12,11.5,140.0,76.70018131260925,1599.4014399150014
95,15,2013_KROSA,"['wp292013', 'WP_29']",9.825761,48,7.840434999999999,24,16.325,105.0,79.42929341752051,0.0
96,21,2013_WIPHA,"['wp252013', 'WP_25']",9.574479666666669,36,7.78950475,48,13.5,120.0,71.26768904646859,1754.9912263312774
97,22,2013_WUTIP,"['wp202013', 'WP_20']",4.316900999999999,36,3.439451,36,16.8,100.0,81.72706906589342,387.7860313667033
98,23,2013_LEKIMA,"['wp282013', 'WP_28']",4.268323333333331,36,4.918526499999999,24,10.9067,140.0,71.5250021328765,1809.942745503106
99,2,2014_NEOGURI,"['wp082014', 'WP_08']",6.2429673333333335,36,8.5641405,24,11.3,140.0,70.85034608475767,1604.0050792626603
100,4,2014_HALONG,"['wp112014', 'WP_11']",3.1201355,24,10.168824875,96,12.0462,140.0,70.74953131574159,1572.334740299813
101,5,2014_VONGFONG,"['wp192014', 'WP_19']",2.444244666666665,36,7.665898749999999,48,8.06,155.0,78.92274111838536,1467.928946133687
102,7,2014_RAMMASUN,"['wp092014', 'WP_09']",9.619496666666668,72,10.7600545,48,13.55,140.0,71.65638090912152,1759.2943699750956
103,14,2014_HAGUPIT,"['wp222014', 'WP_22']",5.9752815,24,7.017157999999999,36,4.9,155.0,,
104,15,2014_NURI,"['wp202014', 'WP_20']",3.9458286666666673,36,4.680852000000002,24,12.775,155.0,77.00698357613432,874.2853397933025
105,19,2014_PHANFONE,"['wp182014', 'WP_18']",4.260947666666667,36,7.9933402,60,12.7,135.0,76.5681645227662,1732.6128249370206
106,0,2015_HIGOS,"['wp022015', 'WP_02']",5.561735499999999,24,4.2319028,30,11.6133,130.0,72.86499442067895,1783.517445268383
107,5,2015_IN-FA,"['wp272015', 'WP_27']",7.057596999999998,12,7.5218825,24,4.4,120.0,77.804074123345,1172.7183542271898
108,6,2015_NANGKA,"['wp112015', 'WP_11']",1.8470699999999989,12,5.0567058000000005,60,9.64,135.0,73.70734113621396,2281.2911729834336
109,8,2015_ATSANI,"['wp172015', 'WP_17']",2.818369000000001,24,4.820226666666664,36,14.8,140.0,66.62276566731751,2298.056574383444
110,12,2015_DOLPHIN,"['wp072015', 'WP_07']",3.92529125,48,9.18679088888889,108,3.75,140.0,72.93864694356517,1330.6139845750533
111,14,2015_SOUDELOR,"['wp132015', 'WP_13']",2.196524,12,5.729595499999999,72,13.625,155.0,66.79393572834181,2061.120310372951
112,17,2015_NOUL,"['wp062015', 'WP_06']",5.454533999999997,24,3.3673475,48,9.52,140.0,71.16331442594424,1179.8115197271247
113,18,2015_MUJIGAE,"['wp222015', 'WP_22']",9.306158,60,5.218004,36,16.575,115.0,,
114,20,2015_KROVANH,"['wp202015', 'WP_20']",6.276030666666667,36,3.502271333333334,36,18.1,100.0,63.75813544507827,2157.2220565533335
