,index,name,id,mean_shear,time_before_tcg,mean_shear_hu,time_before_hu,lat,final_inten,mean_shear_max,time_ts_max,mean_shear_cat1,time_ts_cat1,E_MPI,distance
0,2,2000_KIROGI,"['wp052000', 'WP_05']",4.234878500000001,24,4.734643500000001,24,14.5,115.0,6.569734800000001,60,4.234878500000001,24,70.01473650660674,789.8207753925078
1,13,2000_SHANSHAN,"['wp262000', 'WP_26']",6.2417974,60,3.0945750000000003,36,15.2,135.0,7.43776175,144,6.637438333333333,36,63.411490138843206,2970.3822689687213
2,19,2000_SAOMAI,"['wp222000', 'WP_22']",3.0964825000000005,24,4.882538333333333,36,16.0,140.0,7.698050722222222,216,3.836211,36,70.23400958743899,2224.307203451687
3,24,2000_BILIS,"['wp182000', 'WP_18']",2.9844486666666667,36,3.176979,24,12.5,140.0,5.540159555555555,108,2.8416404999999987,24,77.14620256623041,1236.9257453889363
4,2,2001_KROSA,"['wp242001', 'WP_24']",3.9479904999999977,24,5.985581999999999,24,15.1,105.0,6.406605399999998,60,3.9479904999999977,24,,1881.1740243109884
5,3,2001_LINGLING,"['wp272001', 'WP_27']",6.502896,48,8.4916555,48,10.7,115.0,9.797183181818182,132,6.502896,48,,27.310874222997576
6,4,2001_TORAJI,"['wp112001', 'WP_11']",10.740343666666666,36,9.0730615,24,16.9,100.0,11.891032444444445,108,11.040457,24,,564.4418740044428
7,5,2001_DANAS,"['wp192001', 'WP_19']",5.149715499999999,24,6.204181499999999,24,18.6,105.0,6.388106888888888,108,5.149715499999999,24,,2219.319332116878
8,8,2001_FAXAI,"['wp332001', 'WP_33']",6.232984749999998,48,3.7038305,144,4.9,155.0,5.8423669,240,4.09429575,144,,1441.1154499898153
9,11,2001_CHEBI,"['wp042001', 'WP_04']",7.030510499999998,24,13.644576,48,13.0,100.0,10.9981105,96,8.9227505,48,,848.6077543872786
10,14,2001_PODUL,"['wp262001', 'WP_26']",6.588542749999999,48,3.846638666666667,36,5.7,140.0,6.983095499999999,168,6.143268666666667,36,,1106.4688994624983
11,16,2001_WUTIP,"['wp162001', 'WP_16']",2.6581390000000003,24,2.1686745,24,16.7,130.0,2.124584,84,2.6581390000000003,24,,1699.0441958138326
12,21,2001_FRANCISCO,"['wp222001', 'WP_22']",7.464733799999999,60,9.272586,48,14.8,100.0,10.860175359999998,150,7.612297999999999,48,,2246.464690634789
13,24,2001_MAN-YI,"['wp122001', 'WP_12']",5.12434575,48,7.308115333333333,36,11.2,120.0,6.146575,108,4.961127333333333,36,,1599.454873178623
14,1,2002_HAGIBIS,"['wp052002', 'WP_05']",9.484064166666668,72,8.022791999999999,48,9.8,140.0,9.796948666666667,126,10.0252855,48,72.31020842991497,1494.19339727077
15,2,2002_CHATAAN,"['wp082002', 'WP_08']",4.36477925,48,8.9778391,120,5.2,130.0,10.470641333333331,252,7.8458523,120,71.74072703296838,1021.988313213651
16,3,2002_RUSA,"['wp212002', 'WP_21']",5.065403999999997,24,6.479242999999999,24,16.3,115.0,7.148054888888889,108,5.065403999999997,24,65.36670155179911,2394.8617898508187
17,6,2002_PHANFONE,"['wp192002', 'WP_19']",4.388368666666668,36,6.209903999999999,36,10.3,135.0,7.447281909090908,132,4.388368666666668,36,71.77222571414298,1652.9734362342574
18,10,2002_RAMMASUN,"['wp092002', 'WP_09']",7.937590333333335,72,7.2440742,60,11.3,110.0,8.711076692307692,156,8.205606800000002,60,67.47031806150673,1049.5004738726739
19,17,2002_SINLAKU,"['wp222002', 'WP_22']",7.189596,24,7.506495333333333,36,18.3,110.0,5.8746926666666655,72,7.891810333333333,36,64.85096844541405,2224.9455999713246
20,18,2002_HIGOS,"['wp252002', 'WP_25']",4.229537499999999,48,5.993593499999999,24,15.7,135.0,6.124956666666666,108,4.189098499999998,24,68.65968180669267,2117.3294282205
21,20,2002_FENGSHEN,"['wp122002', 'WP_12']",5.169172,24,6.391497999999999,12,12.5,145.0,5.2821468666666656,180,4.282565999999999,12,70.50685524187702,2574.4629726471157
22,21,2002_HALONG,"['wp102002', 'WP_10']",2.489973799999999,60,4.962399,48,9.2,135.0,11.3966349375,192,2.02732875,48,70.52833003009528,1444.5413140737191
23,0,2003_KUJIRA,"['wp022003', 'WP_02']",8.9044385,24,10.380026,84,4.2,135.0,7.8205969999999985,192,11.60475,84,74.95722550117645,1239.2625719873815
24,6,2003_ETAU,"['wp112003', 'WP_11']",8.449054666666667,72,3.832141666666665,36,13.3,110.0,6.0453685,168,7.267930666666666,36,77.11603112400921,1520.4623292262922
25,7,2003_DUJUAN,"['wp142003', 'WP_14']",4.415328000000001,24,2.082328333333333,36,16.4,125.0,7.798546299999998,120,3.807471333333333,36,67.2141244059255,1301.5020988055996
26,10,2003_IMBUDO,"['wp092003', 'WP_09']",4.3400962,60,7.037504666666668,36,8.8,130.0,9.387174727272727,132,4.4547496666666655,36,79.2480428117171,1171.2495351564658
27,11,2003_CHAN-HOM,"['wp042003', 'WP_04']",5.1498426666666655,36,6.701148833333334,72,6.9,115.0,6.379925833333334,144,7.695973666666668,72,72.71467466162406,1073.485457517189
28,13,2003_LUPIT,"['wp262003', 'WP_26']",6.323062769230769,156,5.610440333333333,36,8.8,145.0,12.723369608695654,276,7.502934666666666,36,69.78334968264166,1587.0256070892256
29,18,2003_KETSANA,"['wp202003', 'WP_20']",5.222581999999999,12,6.60819,36,15.4,125.0,7.813221333333332,72,5.641723333333332,36,73.51263786607674,791.5530015394693
30,5,2004_CHABA,"['wp192004', 'WP_19']",9.6080008,60,14.638510666666669,36,12.8,155.0,10.53516025,144,8.843271333333332,36,73.354027791665,2048.2702533914517
31,9,2004_DIANMU,"['wp092004', 'WP_09']",2.9476975000000003,48,6.243476000000001,24,9.2,155.0,7.250381666666666,108,1.967242500000001,24,78.34973635335552,1090.0269642328117
32,10,2004_NIDA,"['wp042004', 'WP_04']",6.253395000000001,24,2.220939999999999,12,8.3,140.0,5.234462999999999,84,6.117581000000001,12,68.2619876899792,584.2425492982461
33,11,2004_CONSON,"['wp072004', 'WP_07']",3.9992386666666646,36,2.2342161999999988,60,14.8,100.0,8.927155090909089,132,3.904575799999999,60,64.10651912278688,268.5137013734511
34,13,2004_MA-ON,"['wp262004', 'WP_26']",2.055369,72,2.9644835,48,16.7,140.0,8.239749391304349,138,2.7132657500000006,48,69.41297321734767,1103.6236851155234
35,19,2004_SUDAL,"['wp032004', 'WP_03']",7.602378999999999,60,7.771001999999999,36,7.0,130.0,8.4070101875,192,8.598856999999999,36,73.61957687662358,1046.2520402735172
36,21,2004_SONGDA,"['wp222004', 'WP_22']",3.9605799999999984,48,3.839517333333332,36,11.1,125.0,8.315159727272727,132,4.423720999999998,36,74.15658589600415,2160.4791777796117
37,22,2004_MEARI,"['wp252004', 'WP_25']",2.02198775,48,3.5662997500000007,48,12.7,125.0,4.56163325,144,2.02198775,48,73.06057880101069,1678.9066302676788
38,24,2004_NOCK-TEN,"['wp282004', 'WP_28']",4.5822724,60,6.661599999999999,36,11.2,110.0,8.418307105263159,228,6.107662000000001,36,74.26613151836928,1687.425234925371
39,7,2005_NABI,"['wp142005', 'WP_14']",4.434784500000001,24,5.404557499999999,24,15.1,140.0,6.931034374999999,96,4.434784500000001,24,65.34875250080312,1954.1151190576832
40,11,2005_NESAT,"['wp042005', 'WP_04']",7.6996069999999985,84,9.855772333333332,36,9.6,125.0,8.548956800000001,180,4.672967666666665,36,74.3134613466008,1311.2253300154632
41,14,2005_TALIM,"['wp132005', 'WP_13']",3.308978,48,2.8412589999999995,36,13.6,130.0,6.489508818181818,132,3.3768849999999992,36,72.40455266081167,1752.152001605001
42,0,2006_CHANCHU,"['wp022006', 'WP_02']",4.91433,36,7.610581250000001,48,8.2,125.0,4.849068066666667,180,5.41771925,48,69.30743153858464,693.4357650919015
43,2,2006_SAOMAI,"['wp082006', 'WP_08']",4.848711999999999,36,9.824743666666665,36,11.1,140.0,10.484646181818178,132,4.848711999999999,36,74.22954084562014,1556.9740162786823
44,4,2006_DURIAN,"['wp242006', 'WP_24']",10.70111275,48,10.1588868,60,10.0,135.0,10.491325899999998,120,10.2959216,60,76.60681624780548,1375.033390349767
45,7,2006_SHANSHAN,"['wp142006', 'WP_14']",3.4867569999999994,36,4.308508,24,16.9,120.0,6.291545,156,3.529485,24,70.07628292235991,1137.153874891331
46,10,2006_EWINIAR,"['wp042006', 'WP_04']",6.681946666666668,36,3.144322599999999,60,7.5,130.0,8.082305999999999,132,5.515574,60,77.76260506143076,950.6915321582304
47,12,2006_CHEBI,"['wp232006', 'WP_23']",10.4108294,60,5.791017,12,15.9,125.0,5.505873,84,8.670579,12,78.6445310478685,507.73537047139627
48,16,2006_CIMARON,"['wp222006', 'WP_22']",5.8989815,48,7.380600333333333,36,12.6,140.0,5.052602555555556,108,5.535666333333334,36,73.71083758892651,735.5586116522594
49,17,2006_UTOR,"['wp252006', 'WP_25']",8.87372775,48,9.44655,36,10.1,100.0,7.78378225,96,7.830770333333334,36,77.01719706217186,625.3662156932329
50,20,2006_XANGSANE,"['wp182006', 'WP_18']",2.5909949999999995,24,3.3944340000000004,24,11.8,125.0,6.396991600000001,60,2.5909949999999995,24,81.70718629056145,217.72932052503685
51,0,2007_YUTU,"['wp022007', 'WP_02']",4.9092942,60,7.123723666666666,36,9.2,130.0,13.935140272727272,132,5.556012999999999,36,71.53063877801362,1199.8947709175093
52,1,2007_USAGI,"['wp052007', 'WP_05']",7.0350885,48,7.928943,24,18.2,120.0,5.930493399999999,120,5.68496,24,63.41077031254884,1988.3015415326645
53,6,2007_KAJIKI,"['wp192007', 'WP_19']",6.814962999999999,24,6.8260264999999976,24,19.1,115.0,12.6049122,60,6.814962999999999,24,73.47093196912141,1230.397979776419
54,7,2007_KROSA,"['wp172007', 'WP_17']",4.172694,12,2.6383009999999985,24,17.0,130.0,3.350725,84,3.617993,24,72.89478217516321,795.245309937062
55,8,2007_KONG-REY,"['wp012007', 'WP_01']",10.0992965,24,11.623897666666666,36,8.6,100.0,10.302445250000002,96,10.56816,36,73.73721349592219,1275.1767566327928
56,9,2007_SEPAT,"['wp092007', 'WP_09']",8.497886666666666,36,11.552938666666668,36,17.3,140.0,10.6929105,120,8.497886666666666,36,66.89023213472106,1223.6149109001283
57,0,2008_NEOGURI,"['wp022008', 'WP_02']",7.526587666666668,36,5.81371625,48,9.0,100.0,9.0386502,120,7.409530750000001,48,73.77587841549611,78.08925333433773
58,7,2008_JANGMI,"['wp192008', 'WP_19']",4.873890999999997,12,4.064348,36,11.8,140.0,5.594163,96,4.271629666666666,36,75.14684290083014,1320.8525587488311
59,10,2008_FENGSHEN,"['wp072008', 'WP_07']",5.453262333333332,36,8.5328575,24,9.6,110.0,10.718375625,96,4.6049335,24,75.65381567863373,606.1664545147445
