,index,name,id,mean_shear,time_before_tcg,mean_shear_hu,time_before_hu,lat,final_inten,mean_shear_max,time_ts_max,mean_shear_cat1,time_ts_cat1,mean_shear_cat1_65,time_ts_cat1_65,E_MPI,distance
0,2,2000_KIROGI,"['wp052000', 'WP_05']",4.234878500000001,24,4.734643500000001,24,14.5,115.0,9.91893856,150,4.484761000000001,48,4.122081666666667,36,70.01473650660674,789.8207753925078
1,13,2000_SHANSHAN,"['wp262000', 'WP_26']",6.2417974,60,3.0945750000000003,36,15.2,135.0,8.510583769230768,156,5.492575,84,5.036240444444443,108,63.411490138843206,2970.3822689687213
2,19,2000_SAOMAI,"['wp222000', 'WP_22']",3.0964825000000005,24,4.882538333333333,36,16.0,140.0,6.320913563636364,330,4.168116,60,4.121573,48,70.23400958743899,2224.307203451687
3,24,2000_BILIS,"['wp182000', 'WP_18']",2.9844486666666667,36,3.176979,24,12.5,140.0,5.49965052173913,138,3.0614608,60,4.979263931034483,174,77.14620256623041,1236.9257453889363
4,2,2001_KROSA,"['wp242001', 'WP_24']",3.9479904999999977,24,5.985581999999999,24,15.1,105.0,16.27685333333333,126,4.966786249999998,48,4.477385333333332,36,,1881.1740243109884
5,3,2001_LINGLING,"['wp272001', 'WP_27']",6.502896,48,8.4916555,48,10.7,115.0,9.797183181818182,132,7.49727575,96,7.466129,84,,27.310874222997576
6,4,2001_TORAJI,"['wp112001', 'WP_11']",10.740343666666666,36,9.0730615,24,16.9,100.0,11.3004111,120,10.0734308,60,11.171164769230767,156,,564.4418740044428
7,5,2001_DANAS,"['wp192001', 'WP_19']",5.149715499999999,24,6.204181499999999,24,18.6,105.0,6.51607509090909,198,5.676948499999999,48,5.691063999999998,36,,2219.319332116878
8,8,2001_FAXAI,"['wp332001', 'WP_33']",6.232984749999998,48,3.7038305,144,4.9,155.0,8.209886697674417,258,4.378805733333333,180,4.822006999999998,84,,1441.1154499898153
9,11,2001_CHEBI,"['wp042001', 'WP_04']",7.030510499999998,24,13.644576,48,13.0,100.0,10.88718376470588,102,11.439887499999998,72,8.9227505,48,,848.6077543872786
10,14,2001_PODUL,"['wp262001', 'WP_26']",6.588542749999999,48,3.846638666666667,36,5.7,140.0,8.8969284,210,5.413441000000001,84,5.386150125,96,,1106.4688994624983
11,16,2001_WUTIP,"['wp162001', 'WP_16']",2.6581390000000003,24,2.1686745,24,16.7,130.0,5.3319090000000005,168,2.41340675,48,2.41340675,48,,1699.0441958138326
12,21,2001_FRANCISCO,"['wp222001', 'WP_22']",7.464733799999999,60,9.272586,48,14.8,100.0,10.860175359999998,150,8.268223666666664,108,8.268223666666664,108,,2246.464690634789
13,24,2001_MAN-YI,"['wp122001', 'WP_12']",5.12434575,48,7.308115333333333,36,11.2,120.0,6.668048580645161,186,5.745745666666667,72,6.060247,84,,1599.454873178623
14,1,2002_HAGIBIS,"['wp052002', 'WP_05']",9.484064166666668,72,8.022791999999999,48,9.8,140.0,9.796948666666667,126,8.949074000000003,108,8.694370727272728,132,72.31020842991497,1494.19339727077
15,2,2002_CHATAAN,"['wp082002', 'WP_08']",4.36477925,48,8.9778391,120,5.2,130.0,10.37750740425532,282,7.488574615384615,156,6.904125000000001,84,71.74072703296838,1021.988313213651
16,3,2002_RUSA,"['wp212002', 'WP_21']",5.065403999999997,24,6.479242999999999,24,16.3,115.0,6.870019473684209,228,5.772323499999998,48,6.698151333333333,252,65.36670155179911,2394.8617898508187
17,6,2002_PHANFONE,"['wp192002', 'WP_19']",4.388368666666668,36,6.209903999999999,36,10.3,135.0,10.02308127777778,216,5.299136333333333,72,5.299136333333333,72,71.77222571414298,1652.9734362342574
18,10,2002_RAMMASUN,"['wp092002', 'WP_09']",7.937590333333335,72,7.2440742,60,11.3,110.0,9.7009015,168,7.579641599999999,120,7.622355727272727,132,67.47031806150673,1049.5004738726739
19,17,2002_SINLAKU,"['wp222002', 'WP_22']",7.189596,24,7.506495333333333,36,18.3,110.0,5.1620143333333335,252,7.379735600000001,60,7.591315499999999,48,64.85096844541405,2224.9455999713246
20,18,2002_HIGOS,"['wp252002', 'WP_25']",4.229537499999999,48,5.993593499999999,24,15.7,135.0,8.09340418181818,132,4.817556166666666,72,5.259968999999998,84,68.65968180669267,2117.3294282205
21,20,2002_FENGSHEN,"['wp122002', 'WP_12']",5.169172,24,6.391497999999999,12,12.5,145.0,5.8148226,300,5.169172,24,5.766996629629629,324,70.50685524187702,2574.4629726471157
22,21,2002_HALONG,"['wp102002', 'WP_10']",2.489973799999999,60,4.962399,48,9.2,135.0,11.451714,204,3.273403125,96,3.5888294444444444,108,70.52833003009528,1444.5413140737191
23,0,2003_KUJIRA,"['wp022003', 'WP_02']",8.9044385,24,10.380026,84,4.2,135.0,11.436962666666666,396,10.052117666666666,108,11.250282,48,74.95722550117645,1239.2625719873815
24,6,2003_ETAU,"['wp112003', 'WP_11']",8.449054666666667,72,3.832141666666665,36,13.3,110.0,6.0453685,168,6.910083666666665,108,6.211811499999999,144,77.11603112400921,1520.4623292262922
25,7,2003_DUJUAN,"['wp142003', 'WP_14']",4.415328000000001,24,2.082328333333333,36,16.4,125.0,8.709237666666667,144,3.0155282,60,3.4159887500000004,48,67.2141244059255,1301.5020988055996
